test_size,LinearSVR,Lasso,RandomForestRegressor,LinearSVR_subset,RandomForestRegressor_subset,Lasso_subset
0,0.1,0.611,-0.046,0.554,0.593,0.503,-0.046
1,0.12,0.607,-0.054,0.531,0.591,0.495,-0.054
2,0.14,0.596,-0.056,0.521,0.579,0.494,-0.056
3,0.16,0.586,-0.051,0.53,0.564,0.496,-0.051
4,0.18,0.583,-0.051,0.512,0.57,0.475,-0.051
5,0.2,0.587,-0.053,0.525,0.577,0.499,-0.053
6,0.22,0.593,-0.049,0.536,0.579,0.504,-0.049
7,0.24,0.583,-0.036,0.548,0.567,0.509,-0.036
8,0.26,0.588,-0.044,0.548,0.57,0.513,-0.044
9,0.28,0.584,-0.051,0.548,0.565,0.517,-0.051
10,0.3,0.587,-0.05,0.552,0.577,0.52,-0.05
11,0.32,0.594,-0.048,0.56,0.579,0.522,-0.048
12,0.34,0.58,-0.049,0.543,0.567,0.52,-0.049
13,0.36,0.582,-0.05,0.554,0.565,0.529,-0.05
14,0.38,0.581,-0.048,0.556,0.561,0.533,-0.048
15,0.4,0.576,-0.042,0.56,0.566,0.525,-0.042
