test_size,LinearSVR,RandomForestRegressor,Lasso,LinearSVR_subset,RandomForestRegressor_subset,Lasso_subset
0,0.1,0.611,0.556,-0.046,0.595,0.498,-0.046
1,0.12,0.607,0.528,-0.054,0.591,0.494,-0.054
2,0.14,0.597,0.522,-0.056,0.579,0.492,-0.056
3,0.16,0.586,0.52,-0.051,0.566,0.493,-0.051
4,0.18,0.582,0.514,-0.051,0.57,0.485,-0.051
5,0.2,0.587,0.527,-0.053,0.577,0.496,-0.053
6,0.22,0.593,0.53,-0.049,0.579,0.504,-0.049
7,0.24,0.583,0.54,-0.036,0.568,0.508,-0.036
8,0.26,0.589,0.552,-0.044,0.572,0.517,-0.044
9,0.28,0.584,0.551,-0.051,0.571,0.522,-0.051
10,0.3,0.587,0.559,-0.05,0.576,0.526,-0.05
11,0.32,0.594,0.556,-0.048,0.579,0.529,-0.048
12,0.34,0.58,0.546,-0.049,0.564,0.515,-0.049
13,0.36,0.582,0.557,-0.05,0.564,0.523,-0.05
14,0.38,0.581,0.556,-0.048,0.555,0.525,-0.048
15,0.4,0.576,0.554,-0.042,0.565,0.529,-0.042
